Title,Description
Alat,"Alat is a company focused on transforming global industries (electronics and industrials) and creating a world-class manufacturing hub in the Kingdom of Saudi Arabia powered by clean energy to build a better tomorrow. Alat will deliver sustainable manufacturing to help global companies reduce their emissions and move towards zero-carbon manufacturing.  Alat, a PIF company, is an essential enabler of the Saudi Vision 2030 goals for economic diversification, industrial development, innovation, and job creation.
Alat´s primary goal is to ensure that global companies set up sustainable manufacturing solutions in Saudi Arabia, benefitting from abundant clean energy resources, the country´s unique geolocation, and its investments in technology. Initially, its key strategic business areas will be semiconductors, smart devices, smart buildings, smart appliances, smart health, advanced industrials, and next gen infrastructure."
Dan Company,"Dan Company is a Public Investment Fund (PIF) Company that aims to contribute to the development of the tourism sector by embracing the Kingdom's captivating nature and introducing its rich agricultural diversity through agritourism, adventure tourism, and ecotourism, strengthening the connection between people and nature.
Dan's unique integrated business model includes owned and franchised assets, a pioneering approach in the global tourism industry, and aims to develop a tourism ecosystem consisting of high-end resorts and granting franchises to farmers and tourist lodge operators."
ARDARA,"ARDARA is a real estate developer owned by the Public Investment Fund (PIF), playing a significant role in achieving the programs and targets of PIF aligned with Saudi Vision 2030. We work diligently to execute and develop unique, inspiring, and vibrant destinations, creating sustainable urban destinations that exist in harmony with nature. Our developmental efforts draw inspiration from the rich heritage and unique character of our local culture, enhancing the lives of the residents and visitors of our destinations and reinforcing a sense of pride and belonging.
ARDARA derives its name from the Arabic words ""Ard"" (meaning land) and ""Dar"" (meaning home), symbolizing two fundamental elements in human life and identity. Through our flagship destination, AlWadi, in the heart of Abha, ARDARA will contribute more than 19 billion Saudi riyals to the local gross domestic product and thousands of job opportunities by 2030, thereby solidifying our status as a pioneering real estate developer."
TASARU Mobility Investments,"TASARU Mobility Investments is the investment gateway to the thriving Saudi Arabian automotive and mobility ecosystem, for local and international players,  enabling sustainable growth and opportunities across the national mobility spectrum to positively impact the economic, social, and environmental landscape for businesses and opportunities."
Albalad Development CO.,"Al Balad Development Company (BDC), wholly owned by the Public Investment Fund, is the heritage-focused master developer and asset manager of the Jeddah Historical District. Its aim is to provide an authentic experience, build a vibrant and creative community, and establish Jeddah Historical District as an economic center and a global historical destination inspired by Jeddah’s ancient heritage and diverse culture.The establishment of the company follows the directive of His Royal Highness the Crown Prince to develop historic Jeddah, which began in 2019. It also contributes to the goals of the Kingdom’s Vision 2030 for Jeddah to be a global destination."
SURJ Sports Investment,"SURJ Sports Investments, is a PIF company specializing in sports investments. It aims to enable the growth of the sports sector in Saudi Arabia and the Middle East and North Africa region.The company focuses on driving sustainable investment across technology, media, programming, IP rights, and commercialization of venues."
Kayanee,"Kayanee is a Public Investment Fund (PIF) Company that aims to provide inspiring experiences for women that promote a balanced lifestyle and enhance the values of purposeful performance and fitness through six curated business units - Move, Wear, Restore, Thrive, Nourish, and Learn.Kayanee offers a unique first experience that helps women find the balance between what the mind demands and what the body needs."
Al Madinah Heritage Company,"Al Madinah Heritage Company embraces Saudi Arabia's deeply rooted heritage and culture, cherishing tradition while pursuing excellence. Embarking on a journey towards the seamless fusion of heritage and innovation, celebrating the timeless appeal of Ajwa Al Madinah and other Saudi dates."
ASFAR,"ASFAR, the Saudi tourism investment company, wholly owned by the Public Investment Fund (PIF), is strategically founded to play a pivotal role in shaping the tourism landscape in Saudi Arabia.Through strategic & destination-focused investments, ASFAR is dedicated to shaping comprehensive tourism ecosystems across the Kingdom in partnership with the public and private sectors to put Saudi promising cities on the tourism map."
Lifera,"Lifera, a PIF company specializing in biopharmaceuticals with a mission to enable two National priority objectives:
To achieve this, Lifera aims to become a leading biopharma Contract Development and Manufacturing Organization (CDMO) with a focus on advanced therapeutics and critical medicines.   Lifera’s strategy is to be a service provider to biopharma and biotech companies globally by developing and acquiring state-of-the-art cGMP biomanufacturing capacity, establishing high throughput multi-omics capacity to support clinical, population health, and R&D customers, securing high-value commercial partnerships and technology transfer, and developing a high caliber biopharma workforce."
Manara Minerals Investment Company,Manara Minerals Investment Company (Manara Minerals) is a new venture between the Saudi Arabian Mining Company (Ma’aden) and the Public Investment Fund (PIF) to invest in mining assets globally and support the development of resilient global supply chains. Manara Minerals is a capable and dynamic partner that invests in companies to facilitate the production of future-facing minerals and secure offtake; helping connect mines with global markets.
Saudi Facilities Management Company,"The Saudi Facility Management Company “FMTECH” is owned and powered by the Public Investment Fund “PIF”. FMTECH is committed to contributing in achieving the Fund’s strategies and support its projects, adapting the most effective modern technologies, with Saudi cadres and competencies that would maintain, operate, and manage facilities and assets for all sectors with the highest efficiency and levels of quality."
Riyadh Air,"Riyadh Air is a world-class airline owned by the Public Investment Fund (PIF). Launched in March 2023 and hubbed in the capital of the Kingdom, the airline will be a digitally-led, full service airline that adopts the best global sustainability and safety practices across its advanced fleet of aircraft. Riyadh Air will equip its aircrafts with the most advanced, state-of-the-art features with innovative, best-in-class cabin interiors and experiences, including next generation digital in-flight entertainment systems and connectivity solutions. Riyadh Air will connect guests to over 100 destinations around the world by 2030 through offering an exceptional guest experience with an authentic, warm Saudi hospitality at its heart."
Badael Company,"Badael, which means ‘alternatives’ in Arabic, is a new investment by Saudi Arabia’s sovereign fund, the Public Investment Fund. Badael has been founded to help curb the smoking rates in the Kingdom. Through its unrivalled quality standards and investment in research and development, Badael will continue to deliver innovative products to curb smoking, improve the quality of life for smokers and reduce the burden of smoking related non-communicable diseases."
Aseer Investment company (AIC),"Aseer Investment Company is a PIF company that has been established to boost investment in the Aseer region to support its transformation into a year-round global tourism, adventure, and wellness hub.To be recognized as a leader in investment and achieve unprecedented growth in the region  – filled with untapped potential, natural beauty, cultural heritage, and diverse topography – the company aims to forge partnerships with local and international investors by unlocking a wide array of opportunities and presenting Aseer and Saudi Arabia as an attractive investment destination."
King Salman International Airport,"King Salman International Airport will be developed in the capital of Saudi Arabia, Riyadh.  His Royal Highness the Crown Prince Mohammad bin Salman Al-Saud announced the launch of the KSIA master plan on November 28, 2022, as one of the companies owned by the Public Investment Fund (PIF).
KSIA is expected to be one of the largest airports with an area of 57 km2 and 6 parallel runways, raising the airport's capacity to accommodate up to 120 million passengers by 2030, and 185 million passengers by 2050. In addition to 12 km² of supporting facilities, residential, recreational, shops, and logistical facilities.
KSIA is one of the ambitious projects to support Saudi Arabia's Vision 2030 to take advantage of its strategic geographical location, as it is a link between Asia, Africa, and Europe, and makes Riyadh a global destination for transportation, trade, and tourism."
Saudi Downtown Company,"Saudi Downtown Company (SDC), a PIF company is one of the key enablers of the advancement of Vision 2030. It is a real estate development company that will develop downtowns and destinations in 12 Saudi cities to enhance the quality of life and catalyze economic activity.SDC will create new opportunities and experiences for residents, visitors, and businesses in retail, entertainment, tourism, hospitality, residential, and other sectors. The projects will be in Al-Madinah, Al-Ahsa, Al-Khobar, Buraydah, Taif, Arar, Hail, Tabuk, Dumat Al-Jandal, Jizan, Najran, and Al-Baha."
AviLease,"AviLease is a premier full-service commercial aircraft lessor with a clear, two-part mission. With its unwavering commitment lies in delivering customized fleet solutions to airline partners through top-notch leasing, trading, and asset management services.Since its inception in 2022, AviLease has experienced remarkable growth, now boasting cutting-edge Airbus and Boeing fleets. As a subsidiary of PIF, strategically embraces disciplined investment practices, striving for enduring stability. AviLease takes immense pride in harmonizing solid financial gains for the shareholders with a sustainable, positive impact on a national level."
D360 Bank,"D360 Bank is a digital banking institution in Saudi Arabia that adheres to Sharia principles. Investors in the bank include The Public Investment Fund and, Derayah Financial Company complemented by several financial and investment connoisseurs within the Kingdom. Their collective aim is to establish a bank that truly understands its clientele, emphasizing the fulfillment of their financial aspirations via user-friendly, swift, and secure banking services.
The foundation of D360 Bank is its team, which boasts a blend of top-tier local and international expertise. The team is driven by a mission to deliver an equitable banking experience that caters to all. The bank focuses on empowering its clientele including individuals, entrepreneurs, and small to medium-sized enterprises, to achieve their financial goals. They employ data-driven strategies, state-of-the-art technology, and digital innovation as tools to further the nation's economic growth, aligning their objectives with the Kingdom's Vision 2030."
Diriyah Company,"Diriyah Company was established in 2022 and is responsible for developing the Diriyah project, the birthplace of the Kingdom of Saudi Arabia and its foremost historical, cultural and lifestyle destination.Diriyah Company is one of Public Investment Fund companies , and it’s mission is to develop the unique Diriyah Project and re-establish its position as a globally significant destination and one of the world’s greatest gathering places. The project is anchored on At-Turaif, the UNESCO World Heritage Site and the birthplace of modern-day Saudi Arabia."
Saudi Coffee Company,"Founded to increase Saudi Arabia’s position in the global coffee industry, the Saudi Coffee Company aims to become the leader in the production, promotion, and marketing of world-famous coffee beans, Coffea Arabica, within the Kingdom and around the world. Owned by PIF and established in line with its strategy, which focuses on developing promising sectors, including food and agriculture, the Saudi Coffee Company will play a vital role in developing sustainable coffee production in the southern Jazan region, while contributing to securing part of the Kingdom’s food security."
New Murabba,"New Murabba Development Company (NMDC) is a subsidiary of the Public Investment Fund (PIF), and its Board of Directors is Chaired by His Royal Highness Crown Prince Mohammed bin Salman. NMDC aims to develop the world’s largest modern downtown in Riyadh, New Murabba, contributing to the city’s future development in line with Saudi Vision 2030.New Murabba will be built around the concept of sustainability and will offer a unique living, working, and entertainment experience. At the heart of New Murabba is a new icon, The Mukaab.An exceptional iconic landmark featuring the latest innovative technologies. The design of The Mukaab includes first-of-its-kind facilities and will be one of the largest built structures in the world.The Mukaab will be the world’s first immersive, experiential destination where hospitality, retail, and leisure reach new levels, all in breathtaking, ever-changing environments. Defining Riyadh’s new skyline, The Mukaab will attract visitors from across the world with its incredible state-of-the-art entertainment, dining, and retail."
Ceer,"Ceer is a trailblazing automotive brand at the forefront of Saudi Arabia's electric vehicle revolution. As the first Saudi automotive brand dedicated to manufacturing electric vehicles in the kingdom, Ceer embodies innovation, sustainability, and a commitment to shaping the future of mobility.
Ceer is poised to design, manufacture, and distribute a diverse range of vehicles tailored for discerning customers in Saudi Arabia and the broader Gulf region. Ceer's is proud to partner with BMW, utilizing licensed component technology to craft an exceptional lineup of sedans and sports utility vehicles. With vehicles that are meticulously engineered to redefine the driving experience, blending cutting-edge technology, reliability, and affordability.
Ceer are not just building cars; they are pioneering a movement. The mission is clear: to design, build, and offer aspirational battery electric vehicles to the vibrant communities of Saudi Arabia and the GCC. Driven by a passion for innovation, to ensure that customers enjoy state-of-the-art automotive solutions that enhance their lives.
Ceer's establishment aligns seamlessly with the Public Investment Fund's (PIF) strategic vision. By focusing on promising sectors like the automotive industry, Ceer is contributing significantly to the objectives of Vision 2030. To attract substantial foreign direct investment, totaling over USD 150 million, and create up to 30,000 direct and indirect jobs. Moreover, Ceer is poised to make a remarkable impact, projecting a direct GDP contribution of USD 8 billion to Saudi Arabia's economy by 2034."
BOUTIQUE GROUP,"Boutique Group, a hospitality company fully owned by the Public Investment Fund (PIF), develops and operates historic & cultural palaces into ultra-luxury boutique hotels; to enrich the luxury hospitality experience in the Kingdome. Boutique Group promotes Saudi Arabian heritage and culture through redefining the Saudi legacy alluring and unique experiences for the global and local tourist, while preserving its heritage for future generations to come. In its core, Boutique Group delivers a unique ultra-luxury Saudi experience through presenting Saudi heritage in contemporary elegance, contributing in local economy and enhancing the Kingdom's position as a leading cultural tourism destination.
Boutique Group’s core offering features several distinctive elements promoting Saudi Arabian culture and history and conveying a luxury experience. Noteworthy aspects of the experience include the arrival, when guests are dropped off at the beautifully designed porte-cochère (traditional grand entrance) that reflects local architectural styles. Throughout each property, critical historical elements of the building have been carefully preserved such as art galleries, stately civic spaces and peaceful gardens. Dedicated butlers and protocol officers assigned to each guest ensure a personalized service. In addition to fine dining offerings featuring Saudi Arabian and regional- specific cuisine; each palace provides cultural and exhibition spaces, a boulevard gallery and green spaces decorated with art, sculptures and fountains. Guests can enjoy an exclusive membership club, with access to bespoke services and restricted areas.
Al Hamra Palace was built in the center of Jeddah upon King Faisal’s request in 1971 to transform it into a hospitality palace to host the Kingdom’s guests. Surveying the city’s Corniche, the palace pays eloquent tribute to traditional Arabic-Islamic architecture with richly adorned arched gateways, slanted roofs with aqua-green tiles, and a striking façade crafted from Riyadh stone.
The Red Palace is located in the heart of old Riyadh. It was the first building to be constructed of reinforced concrete. It got its name because of its unique reddish color. In 1957, it became the headquarters of the Council of Ministers for 30 years. The palace then became the headquarters of the Board of Grievances until 2002.
The history of Tuwaiq Palace is interwoven with state receptions and festivals celebrating arts and culture, due to its strategic location in the Diplomatic Quarter (DQ) in Riyadh, on approximately 110,000 sqm of land area. The palace was awarded the prestigious Aga Khan Award for its unique design that embraces the spirit of an oasis, blending in with its surrounding landscape."
The Rig,"Oil Park Development Company (OPDC) is a closed joint stock company wholly owned by the Public Investment Fund (PIF) of Saudi Arabia, aiming to portray new horizons for adventure tourism. OPDC was established to drive the development of THE RIG. Project, a prominent adventure tourism destination and the world's first tourism destination on an offshore platform inspired by the design of offshore oil platforms. THE RIG. will offer the visitors thrilling activities and daring adventures above and below the sea, on top of unique experiences in hospitality and entertainment."
Saudi Company for Artificial Intelligence,"SCAI, is wholly owned by Public Investment Fund, and acts as PIF’s arm in the AI and emerging technologies sector to supports its strategy and national priorities to innovate within the technology sector, and position Saudi Arabia as a globally competitive hub for advanced technologies. SCAI operations focus on delivering end-to-end cutting-edge AI and emerging technologies solutions across various disciplines, which apply to a wide range of use cases for both business and consumers in prioritized sectors for the Kingdom such as smart city, energy, healthcare, and financial services. SCAI’s vision is to lead the next generation of AI applications to unlock value globally."
Halal Products Development Company,"Halal Products Development Company (HPDC) is a Public Investment Fund owned company, with a mission to drive and strengthen capabilities within Saudi Arabia’s halal sectors and the global halal ecosystem. Through its investment and advisory services, HPDC works to empower its partners by providing the resources and expertise needed to reach their objectives. HPDC chooses a proactive approach to supporting development across the global halal industry, focusing on key sectors such as food, pharmaceuticals, and cosmetics in addition to emerging technology in halal subsectors. HPDC strives to establish a vibrant, dynamic halal ecosystem in Saudi Arabia, helping to localize the halal industry, increase halal exports, foster innovation, and facilitate economic growth and diversification in line with the objectives of Saudi Vision 2030. As an important and active enabler of the global halal industry, HPDC aims to create value for its partners based on quality, consideration, and honesty values, promoting the holistic benefits of a halal lifestyle and positioning Saudi Arabia as the global halal hub through its operations."
Savvy Games Group,Savvy Games Group is a games and esports company formed with a mission to drive the long-term growth and development of esports and the broader games industry worldwide.
AlUla Development company,"AlUla Development Company (UDC) is a closed joint stock real estate business, fully owned by the Public Investment Fund (PIF), established to support the development of AlUla. It will build and operate a world-class portfolio of hospitality, residential, retail, commercial and infrastructure assets in collaboration with the Royal Commission for AlUla (RCU) and the private sector. With a long-term investment strategy aimed at sustainable economic growth, UDC will rejuvenate and preserve one of the world's most ancient cultural sites, writing a new chapter in AlUla's legacy. AlUla Development Company serves as the gateway to opportunity and growth in AlUla, providing a wide range of opportunities for local and international investment across various sectors. It will offer companies with a chance to be part of Saudi Arabia's ongoing transformation in the pursuit of its goals to support the responsible, sustainable development of AlUla."
Soudah Development,"Soudah Development (SD) is a closed joint-stock real estate development company owned by the Public Investment Fund (PIF), launched by HRH Crown Prince Mohammed bin Salman bin Abdulaziz Al Saud, Prime Minister and Chairman of PIF, on 24th February 2021, to develop a luxury mountain tourism destination set 3,015 meters above sea level on Saudi Arabia's highest peak.Situated within an extraordinary natural and cultural environment in the Aseer region, under the name Soudah Peaks (SP), which includes 6 unique development zones: Tahlal, Sahab, Sabrah, Jareen, Rijal, and Red Rock. Each will offer a range of world-class facilities, including hotels, luxury mountain resorts, residential chalets, villas, premium mansion sites, entertainment, and commercial attractions."
Center for Governance Company,"Center for Governance strives to enhance aspiring, existing directors and governance professional governance skills, establish an influential network of Board of managers and spread corporate governance culture and knowledge. We aim to accomplish our goals through consulting, training, educating, certifying, knowledge and experience sharing, along with our local and international partners."
NEOM,"NEOM is an audacious dream - a vision of what a New Future might look like (NEOM means, “new future”). NEOM is being built on the Red Sea in northwest Saudi Arabia as a living laboratory – a place where entrepreneurship and innovation will chart the course for this New Future. NEOM will be a destination, a home for people who dream big and want to be part of building a new model for sustainable living, working and prospering. NEOM will provide a plethora of unique development opportunities, as its strategic coastal Red Sea location is notable for its proximity to international markets and trade routes."
National Security Service Company (SAFE),"Established in 2019, the National Security Service Company (SAFE) is owned by the Public Investment Fund and licensed by the Higher Commission for Industrial Security in the Kingdom of Saudi Arabia. We aspire to become a national tributary of security and play a leading role in the Kingdom’s journey towards transformation and prosperity.
Our integrated services include:
"
Gulf International Bank (GIB) - KSA,"In April 2019 Gulf International Bank - Saudi Arabia (Saudi Arabia (GIB Saudi Arabia) was formed by the conversion of Gulf International Bank’s existing branches in the Kingdom, which have been operating for 20 years in Saudi Arabia, into a locally incorporated bank. GIB Saudi Arabia is the first foreign domiciled bank to establish a local commercial bank in the Kingdom following approval from the Saudi Council of Ministers in May 2017. It is headquartered in Eastern Province and operates branches in Dhahran, Riyadh and Jeddah, with the Bank’s investment banking activities delivered by its sister organisation GIB Capital, based in Riyadh. GIB Saudi Arabia aims to be the preferred financial services partner, delivering bespoke banking solutions to a wide customer base in the Kingdom of Saudi Arabia and beyond. This includes wholesale and investment banking, asset management and retail banking. In 2015 the Bank launched ‘meem’ the world’s first Shariah compliant digital bank, in Saudi Arabia, providing the market with innovative and comprehensive products for retail customers. GIB Saudi Arabia is owned equally by the Saudi Public Investment Fund (PIF) and Gulf International Bank BSC with a paid-up capital of SR7.5 billion and a strategy to further strengthen and build the Bank’s presence and levels of service in the important Saudi market."
Jeddah Central Development Company,"Jeddah Central Development ""A WATERFRONT DESTINATION WITH NO COMPARISON"". Located right in the heart of Jeddah on the west cost of Saudi Arabia. The design and architecture are inspired by Jeddah's heritage and old town, Al Balad, but built in a contemporary way using sustainable design and material. 
This identity is intended to bridge the past and the future celebrated by vibrant community and spirit bringing Saudi contemporary culture soul to the world. This giga development is backed by PIF and chaired by His Royal Highness Crown Prince Mohammed Bin Salman Al Saud. This massive project will be implemented in three major phases the first f which will be completed by end of 2027. A waterfront of 9.5 km, featuring a world class marina ready to receive yachts form inside and outside the kingdom, complemented by an exceptional 2.1 km of sandy beach on the read sea cost. this project contain four outstanding landmarks; An opera House, a Museum, a Sports Stadium and the Oceanarium and coral farms."
Jada,"Jada was created to promote the development of a thriving private equity and venture capital ecosystem, which could in turn finance the growth of small-and-medium enterprises in Saudi Arabia in a sustainable manner. Launched by a resolution of the Council of Ministers, Jada was established by the Public Investment Fund with an investment capital of SAR 4 billion (approximately USD 1 billion). The creation of Jada is a critical component of Saudi Arabia’s Vision 2030, the Kingdom’s comprehensive economic and social development plan. Jada seeks to partner with private equity and venture capital funds that are focused on the Saudi market and committed to international best practices in governance and fund management."
Qiddiya,"Qiddiya Investment Company (QIC) is driving the development of Qiddiya, Saudi Arabia’s Capital of Entertainment, Sports and the Arts. As a core tenet of Vision 2030, Qiddiya has a dual economic and social purpose: to advance economic diversification and unlock new professional pathways while enriching lives of the youth in the Kingdom. His Royal Highness Mohammed bin Salman, Crown Prince, Deputy Prime Minister, and Chairman of the Council of Economic and Development Affairs and of the Public Investment Fund (PIF), announced the project on April 7, 2017. Ground-Breaking took place on April 28, 2018 and the company, Qiddiya Investment Company (QIC), was incorporated as a closed joint-stock company wholly owned by PIF on May 10, 2018. In 2020, Qiddiya has progressed from the planning to the construction phase as the mass grading and site preparation began on site, supported by security fencing around the entire premises of Qiddiya. A strategic partnership with DETASAD was also announced, building on the milestones of 2019, which included the approval of the Master Plan, the release of the design of Six Flags Qiddiya and the opening of the Welcome Center and first site office. Qiddiya is located south-west of Riyadh on a site that spans 334 sq.km. Phase one is set to open in 2023. Visitors will enjoy activities across five cornerstones: Sports & Wellness; Nature & Environment; Parks & Attractions; Motion & Mobility; and Arts & Culture. Development of these areas will give rise to family-friendly theme parks; sports arenas suitable for international competitions; academies for sports and the arts; concert and entertainment venues; racetracks for motorsport enthusiasts; outdoor and adventure activities alongside nature and environment experiences; and historical, cultural and educational activities. Qiddiya will also include a variety of real estate options and community services."
Red Sea Global,"The Red Sea Project is the world’s most ambitious luxury tourism development, offering an exclusive experience of unparalleled diversity for discerning global travellers. The site encompasses an archipelago of more than 90 pristine islands, miles of sweeping desert and dramatic mountain landscapes. Our ambitious vision to deliver unforgettable, personalized experiences in a stunning environment is also matched by our commitment to: offer access to some of Saudi Arabia’s most important cultural treasures. Protect, preserve and enhance the local environment; and set a new standard in sustainable development; In particular, the Red Sea Project will mitigate carbon dioxide emissions, waste production, and light and noise pollution, maintaining the destination at a level equivalent to a Marine Protected Area. The destination’s variety of islands and coastline, rare opportunities to enjoy culture and the natural world, together with the highest-quality personalized accommodation and service, will set new standards in luxury travel and position Saudi Arabia on the global tourism map. THE DEVELOPER All elements of the project will be guided by the master developer, The Red Sea Development Company (TRSDC). We are committed to developing the area into year-round, luxury destination - valued as much by international travelers as the local population and the global business community. We're uncompromising in our commitment to protect and preserve the natural environment, and pioneering new standards in sustainable development is at the heart of the Red Sea Project. From planning, through to construction and destination management, setting new international standards and achieving best practice is of paramount importance. As part of our remit, we are pursuing partnerships and investment opportunities with external organizations. These partnerships will cover a range of industries - from hospitality and entertainment, to large-scale infrastructure projects, including transportation and utilities."
King Abdullah Financial District (KAFD),"Situated in Riyadh, KAFD is an iconic business and lifestyle destination with state-of-the-art physical and digital infrastructure. The destination is owned and managed by King Abdullah Financial District Development and Management Company (KAFD DMC), which was established in 2018 and is a wholly-owned subsidiary of the Public Investment Fund (PIF), the sovereign wealth fund of the Kingdom of Saudi Arabia. KAFD’s 95 buildings, designed by 25 world-leading architectural firms, have reshaped the skyline of Riyadh. The vibrant mixed-use district offers a range of experiences across its area of 1.6 million square meters and is the largest development globally to achieve LEED Platinum certification, the highest accreditation from the USGBC (U.S. Green Building Council), which recognizes KAFD as a global leader in sustainability."
The Helicopter Company (THC),"PIF established THC as part of its strategy to activate new sectors in Saudi Arabia that support the realization of Vision 2030 and generate long-term commercial returns. THC is Saudi Arabia’s premier commercial helicopter services provider and has been operating since mid-2019. Its state-of-the-art fleet boasts cutting-edge technology and superior safety features, ensuring the delivery of unparalleled service that surpasses expectations."
Rua Al Madinah Holding Company,"Rua Al Madinah Holding Company is one of the Public Investment Fund companies and its important initiatives that were launched to contribute to achieving the goals of the Kingdom’s Vision 2030 to develop and diversify the economic base by strengthening the position of Al Madinah Al Munawara as a prestigious religious destination with a modern infrastructure derived from its Islamic history, where the company aims through its ambitious project, Rua Al Madinah, to raise the readiness of the central area of the Prophet’s Mosque by developing an integrated hospitality, commercial, residential and edutainment project that serves the visitors of Madinah, whose number is expected to reach 23 million visitors annually by 2030. Rua Al Madinah project is characterized by its strategic location and direct view of the Prophet’s Mosque from its eastern side, with a total area of 1.35 million square meters. The project is based on several important elements, including complete separation between the movement of vehicles and pedestrian paths, modern design within a sustainable green environment, enriching the visiting experience while respecting the sanctity of the place, so that the project is an extension of the unprecedented urban renaissance experienced by the Kingdom of Saudi Arabia. In Rua Al Madinah project, we have adopted a lifestyle rich in serenity and spirituality, as the project acquires its importance by facilitating the services of visitors from all countries of the world, offering pleasant stays next to the Prophet’s Mosque and providing highest standard of hospitality. Therefore, the project's master plan was designed by world renowned consulting firms with local and vast international experiences based on best practices and standards of international quality and technology around the world."
Tahakom Investments Company (TIC),"TIC is a Holding Company that owns several subsidiaries operating in different sectors including: Private Aviation, Information Technology, Traffic Management, Security Industries, Manpower Outsourcing, Travel and Visas Services, and Real Estate. TIC was established in 2018, but its subsidiaries were established between 2008 and 2019. TIC portfolio companies include some of the leading companies both domestically and regionally especially in the priviate aviation, iformation technology and traffic managment sectors."
ROSHN,"ROSHN Group is Saudi Arabia’s most trusted multi-asset class real estate developer, and a giga-project wholly owned by the Kingdom’s Public Investment Fund (PIF). ROSHN is changing the urban landscape of Saudi Arabia, introducing a new way of living built around quality homes, green spaces, pedestrian-friendly streets, attractive public areas, rich array of essential and lifestyle-enhancing amenities within walking distance to create real communities where residents can live, work, and play."
JASARA Program Management Company,"JASARA is a joint venture between Saudi Aramco, Public Investment Fund (PIF), and Jacobs to be the premier Program Management Company for social infrastructure delivery in Saudi Arabia and the region."
Saudi Entertainment Ventures (Seven),"Saudi Entertainment Ventures (SEVEN) was established in 2018 to create extraordinary opportunities for our Kingdom through entertainment. We’re here to brighten our nation’s future, one smile at a time, by applying our expertise and imagination to build experiences that put the power of entertainment in everyone’s hands, every day.

When it comes to offering, SEVEN has handpicked its most recognizable global partners to build bespoke a world-class entertainment infrastructure in the kingdom. The new entertainment eco-system developed by SEVEN will include 21 entertainment destinations located across 14 cities, supporting PIF’s strategy to develop the local entertainment and tourism sectors.


The 21-entertainment destinations are split into 3 different pillars:
1- Entertainment Complexes
2- Water Parks
3- Adventure Parks

The Entertainment complexes have an average of 70% - 80% of attraction offerings (Zones) and a 20% - 30% split across the Retail and F&B part of the Leasable area.
"
Saudi Arabian Military Industries (SAMI),"As the Kingdom of Saudi Arabia is transferring to a new phase relying on human resources, diversification of income sources and self-sufficiency, and to fulfill the promise of His Royal Highness Prince Mohammed bin Salman bin Abdulaziz - the Crown Prince, Deputy Prime Minister - to localize half of the military expenditure by 2030, Saudi Arabian Military Industries (SAMI) has been founded in May 2017 as a national entity concerned with developing and supporting military industries in the Kingdom, and enhancing its self-sufficiency. SAMI will be one of the major outcomes of Vision 2030 that requires the activation of new sectors and the opening of local investment prospects. Since its establishment in 2017, SAMI has achieved several major milestones in order to contribute to achieving self–sufficiency in the Saudi military industries through the cutting-edge technologies and the best national talents."
