Title,Description
Saudi Real Estate Refinancing Company (SRC),"The Saudi Real Estate Refinance Company (SRC) was established in 2017 with the purpose of developing the housing finance market in the Kingdom of Saudi Arabia (‘KSA’) by enabling the originators to offer long term and short term financing solutions to home buyers. The Saudi Real Estate Refinance Company (SRC) was established in 2017 with the purpose of developing the housing finance market in the Kingdom of Saudi Arabia (‘KSA’) by enabling originators to offer home buyers long and short-term financing solutions. SRC plays an important role in the National Transformation Plan 2020 and Vision 2030 housing sector plan to increase the number of citizens owning their own homes to 60% by 2020. SRC is owned by the Public Investment Fund (PIF) and licenced to operate in the secondary real estate market by the Saudi Arabian Monetary Authority (SAMA). With a world-class management team following international best practice, SRC is uniquely positioned to become the partner of choice for lenders. While SRC does not offer mortgages direct to home buyers, it offers funding to lenders, who are banks and finance companies, to enable them to offer accessible home loans for homebuyers. By creating an effective secondary market, where home loans and servicing rights are bought from lenders (the mortgage originators) and sold to investors, SRC has increased liquidity making mortgages more accessible for Saudis."
"Saudi Arabian Industrial Investments Company ""Dussur""","Dussur operates a sustainable investment model that facilitates the development of key industrial sectors and their desired value chains in the Kingdom. Of particular interest is downstream development in strategically important industries. Dussur will create a significant number of quality job opportunities for the Kingdom’s citizens through its investments in the targeted sectors. .Dussur was established by Royal Decree. The shareholders are three of the Kingdom of Saudi Arabia’s largest and most respected organizations, the Saudi Arabian Public Investment Fund (PIF), Saudi Aramco and SABIC (Saudi Basic Industries Corporation)."
The Saudi Jordanian Investment Fund,"The Saudi Jordanian Investment Fund (SJIF) is a Limited Public Shareholding Company based in Amman, Jordan. SJIF was formed in 2017 by the Public Investment Fund of Saudi Arabia and 16 commercial and Islamic Jordanian banks, and is registered according to the Jordan Investment Fund Law No. (16) of 2016. With a capital commitment of $3 billion, SJIF pursues strategic, sustainable, and economically feasible investments in Jordan’s vital and promising sectors. SJIF seeks to invest in viable long-term projects, create a clear and sustainable socio-economic impact in Jordan, and align its objectives with the Public Investment Fund of Saudi Arabia’s strategic investment direction."
Saudi Investment Recycling Company,"The Saudi Investment Recycling Company (SIRC) is a wholly owned subsidiary of the Public Investment Fund (PIF) of Saudi Arabia. Headquartered in Riyadh, the company was founded in 2017 to develop, own, operate, and finance various activities across all waste types to establish recycling capacities in the Kingdom and build a circular economy for a sustainable future. Through its achievements, SIRC will help meet and exceed the objectives of the Vision 2030 and support the success of various initiatives identified by the revised Waste Management National Regulatory Framework."
National Energy Services Company (Tarshid),"(TARSHID) is the National Energy Services Company, recently established by the Public Investment Fund to catalyze the development of a more energy efficient Saudi Arabia. (TARSHID) aims to be a pioneer in the energy efficiency field and to build towards a more sustainable future. (TARSHID) has the mandate to develop, fund and manage impactful energy efficiency projects in government and commercial sectors that achieve significant energy savings for the Kingdom."
SITE,"SITE was established in 2017 to offer secured digital services and cybersecurity solutions developed by Saudi experts to protect and secure the Kingdom’s critical digital assets. The Company contributes, through its services and solutions, to the enrichment of local content in the digital, cybersecurity and data science industries by fulfilling its role as a leading consultant for major government bodies and other vital national entities."
Noon investment,"noon is a technology leader with a simple mission: to be the best place to buy and sell things. In doing this we hope to accelerate the digital economy of the Middle East, empowering regional talent and businesses to meet the full range of consumers' online needs. Starting in 2017 with noon.com, the region’s homegrown e-commerce platform and leading online shopping destination, noon is now a digital ecosystem of products and service."
GDC Middle East,"GDC Middle East (GDCME) is a Saudi Arabian Company (80% ownership by Saudi Public Investment Fund (PIF) and 20% ownership by Ajwa Aviation Holdings). The Company was established in 2015 with its headquarters in Riyadh. Vision: Build a leading aerospace and defense company to compete globally. Mission: Investing in people and advanced technology to provide value added solutions to our national economy GDCME is an ISO 9001:2015 (Certificate Number = 126760) accredited organization, which is an Engineering House specializing in A&D Engineering, Systems Integration, MRO, and Operation & Support. GDCME aims to facilitate the transfer of state of the art technologies and knowledge, as well as to insure consistent, sustainable, and improved national aerospace and defense industry capabilities."
Bidaya Finance Company,"Bidaya Finance Company is a financing company operating under the supervision of the Saudi Central Bank. Established in 2015 with a paid-up capital of 900 million Saudi Riyals, it aims to provide innovative financing solutions for individual clients and small to medium-sized enterprises.In line with its vision to empower a brighter financial future for individuals and businesses, Bidaya focuses on innovation and customer-centricity to fulfill its mission of offering innovative and reliable financial solutions to its clients to achieve more.At the core of its mission, Bidaya is committed to leading digital transformation efforts aimed at providing diverse sharia compliant financing solutions, ensuring a distinguished experience for its clients, and enhancing the company’s role in achieving the goals of Saudi Vision 2030."
Gulf Lab Electric Equipment Testing Company,"Introduction GCC Electrical Testing Laboratory will be a world class Electrical Product Testing and Services Hub in the GCC and MENA region, Independent authority for testing and certificating High-Voltage, Medium-Voltage and Low-Voltage electrical equipment, Act as a third party for failure investigations and arbitration, provide Low Voltage calibration services for electrical equipment and testing tools and certification courses for engineers and technicians."
ASMA Capital,ASMA Capital Partners B.S.C.(c) is a multi-fund asset management firm incorporated as a Bahrain joint stock company (closed) pursuant to the laws of the Kingdom of Bahrain. It is licensed and regulated by the Central Bank of Bahrain as an Investment Business Firm – Category 2 and does not provide any type of commercial loans or financial retail products.
Tadawul Real Estate Company,"A limited liability company with a main activity is to own, sell, buy, rent, manage and operate real estates in King Abdullah Financial District or any real estate and financial center. It is currently working on building an office tower in King Abdullah Financial District."
Umm Al Qura Construction & Development,"Umm Al Qura Development & Construction Company (Saudi Closed Joint Stock Company) of Jeddah, Saudi Arabia, has been an active company in Jeddah for 20 years, originally organized to serve as a legal entity for the management and development of assorted ventures for many prominent family companies and groups. The joint-stock company is involved in the development, construction and operation of King Abdul Aziz Road project in the Holy City of Makkah. The company has engaged a highly experienced and respected group of executives to execute the business plan and ensure that the highest standards are accomplished with an on-time, on-budget principal. 12 landmark projects, and counting, the projects are distinct in design and idea; accommodating new perceptions of occupying space in the smartest of manners. Umm Al Qura Development Company planning a series of synergistic real estate developments in Jeddah and Mecca, Saudi Arabia to take advantage of exceptional and continuing market conditions in these cities. Under its leadership, the company took lead in the real estate development and ownership business, with the traditions passed from generation to generation. Experienced in building and developing projects in and out of the Kingdom, the company has extensive real estate holdings locally and internationally. Under its leadership, the company has inspired the vision of project concepts that will focus on the market trends that exist in Jeddah and Mecca today."
Saudi Global Ports Company (Singapore),"Saudi global ports Saudi Arabia’s new shining star, a joint-venture company, Saudi global port LLC (SGPC),formed between the public investment fund (PIF) of the kingdom of Saudi Arabia and PSA international (PSA) will develop, operate and manage the second container terminal in the king Abdul Aziz port in Dammam, a key gateway on the Arabian Gulf. The SGP terminal will be equipped with the latest equipment and technology to serve the fast growing economy of the kingdom and the regional economies of Arabian peninsula and transform Dammam into a preferred port of call. Being the biggest port in the kingdom of Saudi Arabia, it is ideally located close to the kingdom’s economic heart and capital city Riyadh, and linked by an existing railway network and excellent highways to the rest of the country."
The Saudi Technology Development and Investment Company (TAQNIA),"Established in June 2011 by Royal Decree (M/47) based on council of ministers resolution (217), TAQNIA is as a 100% PIF-owned company mandated to invest and commercialize the R&D output from various research institutions locally and globally."
Saudi Arabian Investment Company (Sanabil Investments),"Sanabil Investments is a financial investment company that commits approximately $ 3 billion in capital per annum in private investments that include venture, growth capital and small buyouts. Sanabil is a dynamic, nimble, and highly experienced team of investment professionals. The Company provides partners with patient capital, the ability to invest across multiple funding rounds, and access to the region. We shape the future through bold investments in great ideas, great minds, and great companies."
The National Unified Procurement Company (nupco),"Established in 2009, with a registered capital of SAR 1.5 billion, nupco is fully owned by PIF. With a promising vision in mind to become a reliable source of medical supply services and logistical services, nupco's focus is to utilize our abundant economic resources and provide a solution for the urgent need to systemize demand in the healthcare sector. nupco endeavors to improve its performance, while increasing spending efficiency in procurement of pharmaceuticals, medical equipment, and devices. It seeks to empower the community by delivering the necessary healthcare products and strategically improving health facilities across the country, including public hospitals and medical centers."
Water and Electricity Holding Company (WEHC),"WEHC is an investment company that invests in water and electricity production projects, managing these projects, and carrying out all activities related to its purposes. WEHC has participating in first two IWPPs in the Kingdom (Shuaibah Water and Electricity Company and Shuqaiq Water and Electricity Company). WEHC currently manages 4 assets generating, in total, a capacity of 4.4GW of power and 2,042,000 m3/day of desalinated water."
The Saudi Agricultural and Livestock Investment Company (SALIC),"The Saudi Agricultural and Livestock Investment Company SALIC was established under Royal Decree No. M/22 dated 18/04/1430H corresponding to 14/04/2009, as a Saudi joint-stock company owned by the Public Investment Fund. The company's article of association stated that its investment activity should be inside and outside the Kingdom of Saudi Arabia to contribute to achieving the food security strategy, by providing food products and stabilizing its prices through the establishment of independent subsidiaries, or through national, regional, and international partnerships. SALIC began its investment journey in 2012, with many global companies in the field of agriculture, grain trading, rice and meat in different countries, such as Australia, Ukraine, India, Brazil, Canada, Singapore. Locally, with Almarai, Nadec, Naqua and National grain company."
Arcelormittal Tubular Products Al-Jubail Co.,"ArcelorMittal Tubular Products Jubail is a state of the art seamless tube mill in Saudi Arabia designed and built to serve the fast growing energy producing markets of Saudi Arabia, the Middle East, North Africa and beyond. The Jubail facility is a joint venture between ArcelorMittal, the global leader in the integrated steel and mining sector, Al-Tanmiah Industrial and Commercial Investment Company, and the Public Investment Fund ""PIF"". ArcelorMittal Jubail started operation in 2014 with designed capacity of 600,000 Tons per annum, Jubail is prepared to produce a full range of products suited for the upstream, midstream and downstream energy markets, as well as for industrial and process applications. ArcelorMittal Jubail goal is to provide the best in class quality, reliability, value and innovation to our local and international customers."
International Company For Water and Power Projects (ACWA Power),"ACWA Power is a developer, investor, and operator of power generation and desalinated water plants with 77 assets in operation, construction, or advanced development across 12 countries. The company employs more than 4,000 people with 60% local employment.
ACWA Power’s mission is to reliably deliver electricity and desalinated water at a low cost, thereby contributing effectively to the sustainable, social, and economic development of communities and countries. ACWA Power is committed to the values of safety, people, and performance in operating its business across all geographies."
National Water Company (NWC),"The National Water Company (NWC) a Saudi joint stock company fully owned by the Saudi Government (ie the Public Investment Fund), was established to provide water and wastewater treatment services to best international standards. This is achieved through a model of private sector participation, with leading international operators under the supervision of Saudi professionals. NWC provides high quality drinking water, connects households to water and wastewater networks, safeguards natural water resources and the environment, maximizes the use of treated sewage effluent (TSE), and develops and trains its Saudi workforce in line with the latest international programs."
Saudi Tadawul Group,"On the 19th of March 2007, the Council of Ministers approved the formation of The Saudi Stock Exchange (Tadawul). This was in accordance with Article-20 of the Capital Market Law establishing Tadawul as a joint stock company. Tadawul is the sole entity authorized in the Kingdom of Saudi Arabia to act as the Securities Exchange (the Exchange). It mainly carries out listing and trading in securities, as well as deposit, transfer, clearing, settlement, and registry of ownership of securities traded on the Exchange. The legal status, duties, and responsibilities of the Exchange and Depository Center are explicitly defined in the Capital Market Law (CML) issued by Royal Decree Number (M/30), dated on June 16, 2003. The Exchange is also the official source of all market information. The capital of Tadawul is SAR 1,200,000,000 divided into (120,000,000) shares of equal value of SAR 10; all of which are cash shares subscribed by the Public Investment Fund. Tadawul is an affiliate member of the International Organization of Securities Commissions (IOSCO), the World Federation of Exchanges (WFE), and the Arab Federation of Exchanges (AFE)."
Alinma Bank,"Alinma Bank is licensed to operate in the Saudi financial services sector, a sector that has experienced positive growth in recent years and is vital to the strength of the national economy. It is in this strong economic environment that Alinma Bank will show its competitive advantages in the following areas. Alinma Bank seeks to become an integrated financial institution that is in complete accordance with Shariah-compliant banking standards in all services and transactions. It is this dedication to higher standards that Alinma Bank believes will establish it as the touchstone for Shariah banking compliance at the local level in Saudi Arabia, at the regional level and at the broader international level."
Saudi Railway Company (SAR),"In the forties of the last century AD, the leadership of the Kingdom of Saudi Arabia had initiated the first plans to achieve economic growth and improve the welfare of its citizens.At that time, the extraction of oil had begun. With it, the vital need to establish a port on the coast of the Arabian Gulf, and the creation of a safe, fast, sustainable and low-cost means of transportation was recognized.King Abdulaziz Al Saud, ""The Founder"" - may Allah have mercy on his soul, agreed upon the idea to build a commercial port to harbor the huge ships that brought in oil drilling equipment, and later the oil tankers . And approved the start the railway project to connect the new port. Thus the railway sector was born, with which work began in October 1947 AD. A few years later in October 1951 AD, King Abdul Aziz,"" may Allah bless him"" - inaugurated the first railway line between Riyadh and Dammam."
Industrialization & Energy Services Company (Taqa),"Since its inception, TAQA has been a champion in providing leading products and services to the energy industry in Saudi Arabia, enabling performance and sustainable business for our customers. TAQA has invested heavily in bringing new industrial sectors, such as seamless pipe manufacturing to the Kingdom. TAQA is also leading the way in pioneering training programs, development of the small-to-medium enterprise community, and launching key R&D projects. TAQA continues working towards building an integrated suite of capabilities across drilling, completions and production services, further supporting the Kingdom in developing a competitive and reliable local supply chain. TAQA was established in 2003. The Saudi Government, through the Public Investment Fund, owns 45% of TAQA, while the remaining 55% is owned collectively by Joint Stock Companies and several private and industrial investors representing a cross-section of the Saudi industrial community."
ADES Holding Company,"ADES Group was founded in 2002 and has since grown into a is a world leading international drilling services provider and the largest offshore jack-up drilling rig operator globally. The Group’s evolving portfolio of services primarily includes onshore and offshore contract drilling and workover services and operates principally in onshore, ultra-shallow, and shallow water non-harsh environments. ADES focuses on creating value for its clients by offering competitive rates for services, leveraging its resilient business model, efficient cost structure, highly skilled workforce, and best-in-class operational performance.Over the years, ADES has expanded its regional footprint and now operates an aggregate fleet of 87 rigs across its 9 geographies, boasting as the national leader in Saudi Arabia and a strong presence in Kuwait, Egypt, Algeria, Tunisia, Qatar, India, Indonesia, and Thailand. It serves as a partner for leading energy suppliers in highly desirable drilling markets, leveraging its workforce of over 8,000 employees to meet their needs. Across all its operations, ADES has adhered to strict health and safety protocols, and environmental records throughout the years."
Power and Water Utility Company for Jubail and Yanbu (Marafiq),"Established in terms of Royal Decree M/29 of 18 October 2000 (21 Rajab 1421 Hijra) as a joint-stock company, Marafiq is owned by its four major shareholders - the Royal Commission for Jubail and Yanbu (RC), Saudi Basic Industries Corporation (SABIC), Saudi Arabian Oil Company (Saudi Aramco), and the Public Investment Fund (PIF). Seven private-sector investors make up the remaining shareholders. Marafiq started operating as a private power and water utility company on 1 January 2003, with SR 2,5 billion of initial owner equity. Marafiq's main objective, as stated in its charter, is to undertake the operation, maintenance, management, expansion and construction of seawater cooling systems, district cooling systems, desalinated and treated water systems, sanitary and industrial wastewater systems, electric power systems and transmission and distribution pipeline network to provide essential utility services to industrial, commercial and residential customers in the industrial cities of Jubail and Yanbu."
Saudi Electricity Company (SEC),"Incorporated in accordance with Council of Ministers Mandate No. 169 dated November 30th, 1998, the Saudi Electricity Company was born out of the merger of smaller regional power company in the central, eastern, western and southern regions, as well as 10 small companies in the north of the Kingdom run by what was formerly known as the General Electricity Company."
Saudi Telecom Company (STC),"A pioneer digital champion, always been focused on innovation and evolution, thinking about future to make it, to stay ahead as a truly meaningful and purposeful organization. We offer variety of ICT solutions and digital services in several categories including telecommunication, IT, financial technology, digital media, cybersecurity, and other advanced digital solutions, with that we are leading the digital transformation nationally and regionally."
Saudi Arabian Mining Company (Ma'aden),"MA'ADEN (Saudi Arabian Mining Co.) is a multi-commodity mining and metals company, active in gold, phosphate, fertilizer, base metals, aluminum and managing its infrastructure industry. Ma'aden was formed by Royal Decree in 1997 to facilitate the development of Saudi Arabia's mineral resources, as the largest mining company in Saudi Arabia and Middle East. Ma’aden was listed in Tadawul (Saudi Stock Market) on 2008. The company is structured with corporate headquarters in Riyadh with several subsidiaries. The company was primarily focused on developing the Kingdom's gold mining operations, Then expanded to operate and process of diammonium phosphate plant with Ras Al-Khair's complex, an alumina refinery, smelter and rolling mill associated with the Alco joint venture, and links by rail to the phosphate mine in Wa’ad Al-Shamal. Further projects are underway consistent with Ma’aden being the third pillar of Vision 2030 for the Saudi Arabia’s economy."
Arabian Industrial Fibers Company (Ibn Rushd),"Arab Industrial Fibers Company, or “Ibn Rushd”, a subsidiary of Saudi Basic Industries Corporation (SABIC), was founded in 1993 as a limited liability company. It was transformed in December 1995 into a closed joint-stock company."
Taiba Investments Company,"Taiba Investments (Taiba) is a public joint-stock company listed on the Saudi Stock Exchange “Tadawul” (TDWL). Established in 1988, the Company, which is Headquartered in Madinah Saudi Arabia, manages a portfolio of diversified investments and has a distinguished history of investing in and developing iconic real estate holdings in Madinah and throughout Saudi Arabia. Taiba, which has a substantial land bank, has evolved to become one of the largest real estate developers in Saudi Arabia, known for its commercial and hotel projects located in prime positions in Central Madinah. Key developments include the Taiba Residential and Commercial Center and the Al Majeedi Commercial Center, the first and largest shopping complex in Central Madinah, as well as Millennium operated hotels and other prominent real estate projects. The Company is a key supporter of Saudi Arabia’s Vision 2030 in particular Taiba is backing the Kingdom’s economic diversification by facilitating growth and development of public service sectors such as tourism."
Elm Company,"Serving society and facilitating lives is the notable feature of Elm since its beginning. Keeping pace with the digital acceleration in our changing world has encouraged Elm to accelerate its growth and expansion, and to offer more diverse innovative solutions according to the best global standards. We believe in Elm that the best solutions are not just technical. Rather, a good solution requires fulfilling the needs of our customers to achieve an integrated customer experience that reflects our identity and environment. Our greatest strength is our ability to carry out all of the above with all the integration and harmony between our major sectors and in accordance to the best practices in each sector, within an integrated creative environment, to achieve an outstanding customer experience. 
To achieve this, we divided the business sectors according to specialty including (Health, Industry, Transportation, Interior, Labor, Hajj, Umrah, Justice, Finance, Municipalities, Emerging Businesses, etc.) to ensure professionalism in the service provided in each sector. Each business unit analyzes customer experiences and creates common opportunities for customers. Also, these units act as a link between Elm sectors and customers in order to achieve the best outcomes. By consultations, we study the opportunity or problem and develop the best consulting solutions that commensurate with the labor market. We implement these digital solutions according to the highest level of technology. When our customers need an outsourcing, we also do so in the sense that the customer is a guest. We can also train, develop and transfer knowledge to human capacities."
Eastern Province Cement (EPCC),"The Eastern Province Cement Company was established by the Royal Decree No. M/11 dated 14/03/1402 H. The Paid up Capital is SR 860 Million consisting of 86,000,000 shares owned by Citizens and official. The company is founded mainly to produce different kinds of Clinker and Cement to cater the need of local and Gulf market."
Saudi Public Transport Company (SAPTCO),"In 1979 AD, the government started to establish the concept of public transport in the Kingdom of Saudi Arabia through the establishment of the Saudi Public Transport Company ""SAPTCO"" as a Saudi joint stock company. The government is the largest shareholder of the company, which was designated the first national land carrier."
Southern Province Cement (SPCC),"Southern province cement company was established on 27.4.1399h, as per the regulations of the existing Saudi companies law. The company field of interest is producing cement and its related products. The total paid capital after being raised is SR 1,400,000,000. SPCC is considered one of the biggest cement companies in the middle east. It owns three factories in Jazan, Assir and Makkah regions. The total production capacity is 40,000 tons/day. SPCC won the King’s idle award twice, in 1985 and 1994, and also the safety first place in the competition arranged by the Saudi House for the Consultancy services. SPCC always cooperates with the other national factories and companies, exchange visits with them, contribute to seminars arranged by chamber of commerce, Arab cement union and the international conferences in the cement industry. SPCC usually cooperates with other national companies and put using national products as a priority in fulfilling its demands. SPCC adopted Nationalizations strategy. Training centers were established in its factories to train Saudis. SPCC, under the directions of its BOARD, started executing its plans to raise the Saudization percentage, and to raise the operational and productions efficiency to cope up with 2030 vision."
The National Shipping Company of Saudi Arabia (Bahri),"Bahri, the National Shipping Company of Saudi Arabia (previously known as NSCSA), was established by Royal Decree as a public shareholding company on 21 January 1978. The ownership is 22.55% Public Investment Fund (PIF), 20% Saudi Aramco Development Co. (SADCO), 57.45% listed (Tadawul). Forty years of growth turns a small multipurpose vessel company into a world leader in maritime logistics and transportation conglomerate. A large fleet of 89 modern, state-of-the-art vessels that are built to the highest standards enable Bahri to serve 150 ports worldwide. Today, Bahri is Saudi Arabia’s leading shipping company. We are committed to a strategy of continued growth by further building our customer base in Saudi Arabia and abroad, and establishing an international reputation for quality, reliability and safety. Our business activities span the purchase, sale and operation of ships and vessels for the transportation of cargo, oil, chemicals, oil products and dry bulk, logistical services, cargo clearance and stowage on board ships and other means of transportation, storage and all maritime shipping activities. We conduct our operations through four different channels: crude oil, chemicals, breakbulk and dry bulk transportation. As a VLCC leader, we are one of the world’s largest owner and operator of Very Large Crude Carriers (VLCCs) with a total capacity of more than 13 million DWT. And we are proud to be one of the largest owners and operator of chemical tankers in the Middle East. Our operational fleet is approximately 1.3 million DWT."
Saudi Ceramic Company,"Saudi Ceramic Company is a leading provider of quality building solutions that includes various types of ceramic products ( ceramic tiles, porcelain tiles, sanitary wares and accessories), electric water heaters, bathroom fittings, including baths, shower trays, mirrors and mixers. With over 42 years experience, the Company has gained a well-deserved reputation for manufacturing quality with high standards both nationally and internationally. Saudi Ceramic Company is the largest manufacturer of its kind in Saudi Arabia and a well-recognised brand."
Yanbu Cement (YCC),"Yanbu Cement Company (YCC), a Saudi joint stock company, is one of the major cement manufacturers in the Kingdom of Saudi Arabia and the largest cement company in the Western Region with a total installed capacity above 7.0 million tons of clinker and cement dispatch capacity above 10.0 million tons per annum. Yanbu Cement is ranked as one of the top 50 companies in KSA with a paid up capital of SR 1.575 billion. Its manufacturing facilities are located at Ras Baridi, on the coast of the Red Sea, 70 KM north-west of the Port of Yanbu. Yanbu Cement’s corporate office is located at Jeddah."
Saudi Real Estate Company,"The company is engaged in land acquisition for the purpose of development of both residential and commercial assets. Further on the company has a variety of activities within the spectrum of the Real Estate industry which includes selling, leasing and asset management. the company also offers asset management services to third parties. As per the construction part of the business, Al Akaria is heavily involved in the following: Material: trade, leasing & production Equipment: trade, leasing & production."
Dur Hospitality Company,"Dur Hospitality is a publicly listed company specialized in the hospitality sector in Saudi Arabia, established in 1976. It is recognized for its track record stretching well over 4 decades in managing, developing and operating hotels and residential communities across the Kingdom of Saudi Arabia. Our diversified portfolio encompasses 29 properties, in addition to several new hospitality and residential projects under development across the Kingdom."
Qassim Cement Company (QACCO),"Qassim Cement Company is a Saudi Joint Stock company, established in accordance with the Royal Decree No. M/62 on 15 Shaban, 1396H. (August 11, 1976) and registered in Buraydah City under commercial registration number 1131001224 on 28 Shaban, 1398 (August 2, 1978). The principle activity is to manufacture and sell cement and its related products and perform all related works, directly or indirectly, to achieve those purposes. QCC may produce any type of cement; in the meantime, these are the three main types: Ordinary Portland Cement (OPC/Type I), Sulphate Resistant Cement (SRC/Type V), and Limestone Cement - Finishing Cement."
The Saudi National Bank (SNB),The Saudi National Bank (SNB) is the largest financial institution in Saudi Arabia and one of the largest powerhouses in the region. SNB plays a vital role in supporting economic transformation in Saudi Arabia by transforming the local banking sector and catalyzing the delivery of Saudi Arabia’s Vision 2030. Its strategy is closely aligned with the Vision’s programs. SNB also leverages its position as the largest institutional and specialized financier in the Kingdom to support the Kingdom’s landmark deals and mega projects.
Sawani,"Nestled in the heart of the vast Saudi desert and steeped in the country's rich heritage, camels have always been more than mere animals; they embody pride, tradition, and sustenance. Sawani emerged, rekindling the age-old connection to camel milk, a staple from the ancestors' era, famed for its myriad health benefits.
Inspired by the ancient ""Sawani"" concept, Sawani endeavors to provide fresh, natural camel milk products without added phosphates or cane sugar. Their commitment surpasses delivering premium products.
Sawani transforms the camel milk industry and aligns seamlessly with the Public Investment Fund's strategic vision. By focusing on the burgeoning food sector in the Kingdom, they contribute significantly to Saudi Arabia’s Vision 2030 objectives, fostering a sustainable national economy through diversification."
Cruise Saudi,"Cruise Saudi is a new beacon of Vision 2030, creating an additional economic pillar, another growth engine and a new experiential dimension in Saudi Arabia's tourism sector. With an operational strategy founded on sustainable and environmental consciousness, Cruise Saudi is opening the doors of opportunity for tourism, business, culture and social economies along the pristine coastline of Saudi Arabia. Cruise Saudi is a 100% PIF-owned business based in Jeddah, KSA formed to develop the infrastructure and services required to scale a full-suite cruise market along the Saudi coastline. The company is responsible for the port development at key Saudi destinations as well as scaling cruise services from marketing, to Shorex coordination and vessel operations. Cruise Saudi is working hand-in-hand with regulatory and ministerial authorities to develop the cruise ecosystem offshore and onshore so that the Saudi coastline will become a premiere global cruise destination."
Sela Sport Company,"Established in 1997, Sela is Saudi Arabia's inaugural FIFA-recognized athletes’ representation company. Sela has since expanded its remit across sport to encompass the broader spectrum of entertainment, culture, leisure, and hospitality industries.Sela has evolved into a key player across recreational sectors, bringing to life experiences and collaborating with some of the world’s most renowned brands, facilitating their connection with audiences in Saudi Arabia and beyond."
Electric Vehicle Infrastructure Company (EVIQ),"The Electric Vehicle Infrastructure Company (EVIQ) is a joint-venture company between the Public Investment Fund (PIF) & Saudi Electricity Company (SEC), at a 75:25 ownership ratio. Headquartered in Riyadh, the company is focused on supporting EV adoption in the Saudi market by building best-in-class infrastructure and creating a nationwide network of fast-charging hubs for electric vehicles around the Kingdom.
The company takes on the responsibility of enabling a solid EV eco-system in Saudi. Through collaboration with a variety of public & private players in the market, EVIQ will establish the foundation for a robust EV infrastructure that will increase confidence among the Saudi community in the ownership & use of EV’s. This will lead to growth in EV adoption and use, making this sector more attractive for private investors to participate in."
Kuwaiti Food Co. (Americana),"Americana Restaurants, established in 1964 in Kuwait, is recognized as the largest operator of quick service and casual dining restaurants in the MENA region and Kazakhstan, boasting an extensive portfolio of iconic global brands. With over 50 years of operation, Americana Restaurants has been a driving force behind renowned names, such as KFC, Pizza Hut, Hardee’s, Krispy Kreme, and TGI Fridays, along with proprietary brands like Wimpy and Chicken Tikka.Americana Restaurants excels in replicating, improving, and adapting tried-and-tested dining solutions from globally recognized brands to local tastes. With multi-decade global brand equity, Americana has successfully carved a niche in the industry."
Riyad Bank,"Riyad Bank is one of the largest financial institutions in Saudi Arabia and the Middle East, with a strong corporate and retail banking franchise. Mobilizing its substantial capital base and with decades of expertise to assume a leading role in all areas of Saudi finance, Riyad Bank is a leading financier and arranger of syndicated loans in the oil, petrochemicals, and most of the Kingdom’s notable infrastructure projects.
We offer our clients an accessible and expanded network of more than 304 branches with 64 dedicated ladies branches and 19 ladies sections in other branches, as well as 20 self-service electronic branches A branch in London and Offices in Houston (USA), and Singapore help us support the international banking needs of our clients. Riyad Bank’s investment banking arm Riyad Capital is a leading player in the IPO advisory business and asset management in Saudi Arabia, having won numerous investment awards in categories ranging from “best mutual performance” to “best fund manager.” Our remote banking package (RiyadNet) uses the latest electronic technologies to address the banking needs of our customers. The bank has also kept its lead in the ATMs network, as the number of multi-functional ATM's is now more than 2,542 distributed in strategic & carefully selected locations.
Riyad Bank has achieved SR 1,079 million as net income up to 31 March 2014 as compared to SAR 951 million last year, an increase of 13.5% with total operating income increasing to SR 1,932 million against SR 1,725 million last year an increase of 12.0% Total assets as at end of March 2014 reached SR 211,405 million against SR 186,450 million last year an increase of 13.4%. Customer deposits grew by 11.1% to reach SR 159,947 million against SR 143,964 and loans and advances, rose by 13.1% and stood at SR 136,770 million against 120,922 last year.
Source:https://www.slintel.com/"
Arab Bank (Amman),"Arab Bank headquartered in Amman, Jordan has one of the largest global Arab banking networks with over 600 branches spanning five continents. Arab Bank provides a wide range of financial products and services for individuals, corporations and other financial institutions. The Bank’s products and services cover Consumer Banking, Corporate and Institutional Banking and Treasury services. Arab Bank’s extensive network covers key financial markets and centers such as London, Dubai, Singapore, Shanghai, Geneva, Paris, Frankfurt, Sydney and Bahrain. Arab Bank has the following sister company, subsidiaries and affiliates companies"
